序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,xDO_P[2],BOOL,,OFF,,,,,
,xDO_P[3],BOOL,,OFF,,,,,
,xDO_P[4],BOOL,,OFF,,,,,
,xDO_P[5],BOOL,,OFF,,,,,
,xDO_P[6],BOOL,,OFF,,,,,
,xDO_P[7],BOOL,,OFF,,,,,
,xDO_P[8],BOOL,,OFF,,,,,
,xDO_P[9],BOOL,,OFF,,,,,
,xDO_P[10],BOOL,,OFF,,,,,
,xDO_P[11],BOOL,,OFF,,,,,
,xDO_P[12],BOOL,,OFF,,,,,
,xDO_P[13],BOOL,,OFF,,,,,
,xDO_P[14],BOOL,,OFF,,,,,
,xDO_P[15],BOOL,,OFF,,,,,
56,xDI_N,BOOL[16],,,,,,,
,xDI_N[0],BOOL,,OFF,,,,,
,xDI_N[1],BOOL,,OFF,,,,,
,xDI_N[2],BOOL,,OFF,,,,,
,xDI_N[3],BOOL,,OFF,,,,,
,xDI_N[4],BOOL,,OFF,,,,,
,xDI_N[5],BOOL,,OFF,,,,,
,xDI_N[6],BOOL,,OFF,,,,,
,xDI_N[7],BOOL,,OFF,,,,,
,xDI_N[8],BOOL,,OFF,,,,,
,xDI_N[9],BOOL,,OFF,,,,,
,xDI_N[10],BOOL,,OFF,,,,,
,xDI_N[11],BOOL,,OFF,,,,,
,xDI_N[12],BOOL,,OFF,,,,,
,xDI_N[13],BOOL,,OFF,,,,,
,xDI_N[14],BOOL,,OFF,,,,,
,xDI_N[15],BOOL,,OFF,,,,,
57,xDI_P,BOOL[16],,,,,,,
,xDI_P[0],BOOL,,OFF,,,,,
,xDI_P[1],BOOL,,OFF,,,,,
,xDI_P[2],BOOL,,OFF,,,,,
,xDI_P[3],BOOL,,OFF,,,,,
,xDI_P[4],BOOL,,OFF,,,,,
,xDI_P[5],BOOL,,OFF,,,,,
,xDI_P[6],BOOL,,OFF,,,,,
,xDI_P[7],BOOL,,OFF,,,,,
,xDI_P[8],BOOL,,OFF,,,,,
,xDI_P[9],BOOL,,OFF,,,,,
,xDI_P[10],BOOL,,OFF,,,,,
,xDI_P[11],BOOL,,OFF,,,,,
,xDI_P[12],BOOL,,OFF,,,,,
,xDI_P[13],BOOL,,OFF,,,,,
,xDI_P[14],BOOL,,OFF,,,,,
,xDI_P[15],BOOL,,OFF,,,,,
58,iZioDIItem,INT,,0,,,,,
59,iDITestState,INT,,0,,,,,
60,bDITestSuccess,BOOL,,OFF,,,,,
61,bDITestFailed,BOOL,,OFF,,,,,
62,iZioDISel,INT,,0,,,,,
63,TPR_En,BOOL[8],,,,,,,
,TPR_En[0],BOOL,,OFF,,,,,
,TPR_En[1],BOOL,,OFF,,,,,
,TPR_En[2],BOOL,,OFF,,,,,
,TPR_En[3],BOOL,,OFF,,,,,
,TPR_En[4],BOOL,,OFF,,,,,
,TPR_En[5],BOOL,,OFF,,,,,
,TPR_En[6],BOOL,,OFF,,,,,
,TPR_En[7],BOOL,,OFF,,,,,
64,TPR_Pt,DINT[8],,,,,,,
,TPR_Pt[0],DINT,,0,,,,,
,TPR_Pt[1],DINT,,0,,,,,
,TPR_Pt[2],DINT,,0,,,,,
,TPR_Pt[3],DINT,,0,,,,,
,TPR_Pt[4],DINT,,0,,,,,
,TPR_Pt[5],DINT,,0,,,,,
,TPR_Pt[6],DINT,,0,,,,,
,TPR_Pt[7],DINT,,0,,,,,
65,TPR_Rst,BOOL[8],,,,,,,
,TPR_Rst[0],BOOL,,OFF,,,,,
,TPR_Rst[1],BOOL,,OFF,,,,,
,TPR_Rst[2],BOOL,,OFF,,,,,
,TPR_Rst[3],BOOL,,OFF,,,,,
,TPR_Rst[4],BOOL,,OFF,,,,,
,TPR_Rst[5],BOOL,,OFF,,,,,
,TPR_Rst[6],BOOL,,OFF,,,,,
,TPR_Rst[7],BOOL,,OFF,,,,,
66,TPR_Q,BOOL[8],,,,,,,
,TPR_Q[0],BOOL,,OFF,,,,,
,TPR_Q[1],BOOL,,OFF,,,,,
,TPR_Q[2],BOOL,,OFF,,,,,
,TPR_Q[3],BOOL,,OFF,,,,,
,TPR_Q[4],BOOL,,OFF,,,,,
,TPR_Q[5],BOOL,,OFF,,,,,
