#变量导出文件（汇川）
#2025-03-01 13:36:39

#列 A:名称
#列 B:连接（如果为空，则是内部连接）
#列 C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列 D:长度
#列 E:数组计数
#列 F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列 G:采集周期
#列 H:采集模式（0=根据命令 1=循环使用（默认值） 2=循环连续）
#列 I:上限
#列 J:下限
#列 K:初始值（初始值类型取决于变量数据类型）
#列 L:注释
#列 M:变量组Id
#列 N:索引变量

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id,索引变量
"iWrBuf[114]","Via_Easy521","Int16","2","1","UW 2107110","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[115]","Via_Easy521","Int16","2","1","UW 2107120","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[116]","Via_Easy521","Int16","2","1","UW 2107130","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[117]","Via_Easy521","Int16","2","1","UW 2107140","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[118]","Via_Easy521","Int16","2","1","UW 2107150","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[119]","Via_Easy521","Int16","2","1","UW 2107160","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[120]","Via_Easy521","Int16","2","1","UW 2107170","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[121]","Via_Easy521","Int16","2","1","UW 2107180","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[122]","Via_Easy521","Int16","2","1","UW 2107190","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[123]","Via_Easy521","Int16","2","1","UW 21071A0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[124]","Via_Easy521","Int16","2","1","UW 21071B0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[125]","Via_Easy521","Int16","2","1","UW 21071C0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[126]","Via_Easy521","Int16","2","1","UW 21071D0","100ms","1",,,,,"2","<Undefined>"
"iWrBuf[127]","Via_Easy521","Int16","2","1","UW 21071E0","100ms","1",,,,,"2","<Undefined>"
"bWrCfgDone","Via_Easy521","Bool","1","1","UB 21000C3","100ms","1",,,,,"2","<Undefined>"
"bWrCfgError","Via_Easy521","Bool","1","1","UB 21000C4","100ms","1",,,,,"2","<Undefined>"
"bRdData","Via_Easy521","Bool","1","1","UB 21000C5","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[0]","Via_Easy521","Int16","2","1","UW 2102150","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[1]","Via_Easy521","Int16","2","1","UW 2102160","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[2]","Via_Easy521","Int16","2","1","UW 2102170","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[3]","Via_Easy521","Int16","2","1","UW 2102180","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[4]","Via_Easy521","Int16","2","1","UW 2102190","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[5]","Via_Easy521","Int16","2","1","UW 21021A0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[6]","Via_Easy521","Int16","2","1","UW 21021B0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[7]","Via_Easy521","Int16","2","1","UW 21021C0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[8]","Via_Easy521","Int16","2","1","UW 21021D0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[9]","Via_Easy521","Int16","2","1","UW 21021E0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[10]","Via_Easy521","Int16","2","1","UW 21021F0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[11]","Via_Easy521","Int16","2","1","UW 2102200","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[12]","Via_Easy521","Int16","2","1","UW 2102210","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[13]","Via_Easy521","Int16","2","1","UW 2102220","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[14]","Via_Easy521","Int16","2","1","UW 2102230","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[15]","Via_Easy521","Int16","2","1","UW 2102240","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[16]","Via_Easy521","Int16","2","1","UW 2102250","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[17]","Via_Easy521","Int16","2","1","UW 2102260","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[18]","Via_Easy521","Int16","2","1","UW 2102270","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[19]","Via_Easy521","Int16","2","1","UW 2102280","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[20]","Via_Easy521","Int16","2","1","UW 2102290","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[21]","Via_Easy521","Int16","2","1","UW 21022A0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[22]","Via_Easy521","Int16","2","1","UW 21022B0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[23]","Via_Easy521","Int16","2","1","UW 21022C0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[24]","Via_Easy521","Int16","2","1","UW 21022D0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[25]","Via_Easy521","Int16","2","1","UW 21022E0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[26]","Via_Easy521","Int16","2","1","UW 21022F0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[27]","Via_Easy521","Int16","2","1","UW 2102300","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[28]","Via_Easy521","Int16","2","1","UW 2102310","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[29]","Via_Easy521","Int16","2","1","UW 2102320","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[30]","Via_Easy521","Int16","2","1","UW 2102330","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[31]","Via_Easy521","Int16","2","1","UW 2102340","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[32]","Via_Easy521","Int16","2","1","UW 2102350","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[33]","Via_Easy521","Int16","2","1","UW 2102360","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[34]","Via_Easy521","Int16","2","1","UW 2102370","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[35]","Via_Easy521","Int16","2","1","UW 2102380","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[36]","Via_Easy521","Int16","2","1","UW 2102390","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[37]","Via_Easy521","Int16","2","1","UW 21023A0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[38]","Via_Easy521","Int16","2","1","UW 21023B0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[39]","Via_Easy521","Int16","2","1","UW 21023C0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[40]","Via_Easy521","Int16","2","1","UW 21023D0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[41]","Via_Easy521","Int16","2","1","UW 21023E0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[42]","Via_Easy521","Int16","2","1","UW 21023F0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[43]","Via_Easy521","Int16","2","1","UW 2102400","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[44]","Via_Easy521","Int16","2","1","UW 2102410","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[45]","Via_Easy521","Int16","2","1","UW 2102420","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[46]","Via_Easy521","Int16","2","1","UW 2102430","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[47]","Via_Easy521","Int16","2","1","UW 2102440","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[48]","Via_Easy521","Int16","2","1","UW 2102450","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[49]","Via_Easy521","Int16","2","1","UW 2102460","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[50]","Via_Easy521","Int16","2","1","UW 2102470","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[51]","Via_Easy521","Int16","2","1","UW 2102480","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[52]","Via_Easy521","Int16","2","1","UW 2102490","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[53]","Via_Easy521","Int16","2","1","UW 21024A0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[54]","Via_Easy521","Int16","2","1","UW 21024B0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[55]","Via_Easy521","Int16","2","1","UW 21024C0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[56]","Via_Easy521","Int16","2","1","UW 21024D0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[57]","Via_Easy521","Int16","2","1","UW 21024E0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[58]","Via_Easy521","Int16","2","1","UW 21024F0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[59]","Via_Easy521","Int16","2","1","UW 2102500","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[60]","Via_Easy521","Int16","2","1","UW 2102510","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[61]","Via_Easy521","Int16","2","1","UW 2102520","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[62]","Via_Easy521","Int16","2","1","UW 2102530","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[63]","Via_Easy521","Int16","2","1","UW 2102540","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[64]","Via_Easy521","Int16","2","1","UW 2102550","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[65]","Via_Easy521","Int16","2","1","UW 2102560","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[66]","Via_Easy521","Int16","2","1","UW 2102570","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[67]","Via_Easy521","Int16","2","1","UW 2102580","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[68]","Via_Easy521","Int16","2","1","UW 2102590","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[69]","Via_Easy521","Int16","2","1","UW 21025A0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[70]","Via_Easy521","Int16","2","1","UW 21025B0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[71]","Via_Easy521","Int16","2","1","UW 21025C0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[72]","Via_Easy521","Int16","2","1","UW 21025D0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[73]","Via_Easy521","Int16","2","1","UW 21025E0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[74]","Via_Easy521","Int16","2","1","UW 21025F0","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[75]","Via_Easy521","Int16","2","1","UW 2102600","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[76]","Via_Easy521","Int16","2","1","UW 2102610","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[77]","Via_Easy521","Int16","2","1","UW 2102620","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[78]","Via_Easy521","Int16","2","1","UW 2102630","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[79]","Via_Easy521","Int16","2","1","UW 2102640","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[80]","Via_Easy521","Int16","2","1","UW 2102650","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[81]","Via_Easy521","Int16","2","1","UW 2102660","100ms","1",,,,,"2","<Undefined>"
"iDataBuf[82]","Via_Easy521","Int16","2","1","UW 2102670","100ms","1",,,,,"2","<Undefined>"
